Clube,Player,age,Position_Num,Height,Taxa_Transferencia,Value_Num,fb_Mn/MP,fb_PPM,fb_+/-,fb_xG+/-,Dum_GK,Dum_DEF,Dum_MC,Dum_ATA,age2,cluster
flamengo,Nicolás de la Cruz,28.0,6.0,1.67,14500000,1800000.0,58.0,1.91,5.0,4.6,0,0,1,0,784.0,2
flamengo,Giorgian de Arrascaeta,31.0,7.0,1.74,15000000,1500000.0,74.0,2.44,29.0,10.7,0,0,1,0,961.0,2
flamengo,Jorge Carrascal,27.0,7.0,1.8,12500000,7000000.0,26.0,3.0,0.0,0.4,0,0,1,0,729.0,2
flamengo,Samuel Lino,25.0,9.0,1.77,22000000,2200000.0,79.0,2.5,11.0,3.5,0,0,0,1,625.0,0
flamengo,Michael,29.0,9.0,1.66,0,6000000.0,44.0,2.1,9.0,5.5,0,0,0,1,841.0,0
flamengo,Gonzalo Plata,24.0,8.0,1.78,3800000,7000000.0,54.0,2.31,12.0,5.0,0,0,0,1,576.0,0
flamengo,Luiz Araújo,29.0,8.0,1.75,9000000,5000000.0,55.0,2.44,19.0,10.2,0,0,0,1,841.0,0
flamengo,Pedro,28.0,11.0,1.85,14000000,2200000.0,50.0,2.5,23.0,10.1,0,0,0,1,784.0,0
flamengo,Juninho,28.0,11.0,1.79,5000000,2500000.0,25.0,1.91,1.0,1.5,0,0,0,1,784.0,0
flamengo,Bruno Henrique,34.0,11.0,1.84,5500000,1000000.0,58.0,2.22,12.0,6.6,0,0,0,1,1156.0,0
fluminense,Thiago Silva,40.0,4.0,1.81,0,700000.0,85.0,1.33,-3.0,0.9,0,1,0,0,1600.0,1
fluminense,Manoel,35.0,4.0,1.81,0,200000.0,75.0,1.5,0.0,-0.7,0,1,0,0,1225.0,1
fluminense,Gabriel Fuentes,28.0,3.0,1.8,1000000,2000000.0,87.0,0.67,-5.0,0.4,0,1,0,0,784.0,1
fluminense,Guga,26.0,2.0,1.73,1500000,2000000.0,63.0,1.6,-2.0,-1.2,0,1,0,0,676.0,1
fluminense,Samuel Xavier,35.0,2.0,1.66,0,300000.0,82.0,1.64,-1.0,2.0,0,1,0,0,1225.0,1
fluminense,Facundo Bernal,22.0,5.0,1.87,3300000,2000000.0,65.0,1.27,-3.0,-5.3,0,0,1,0,484.0,2
fluminense,Luciano Acosta,31.0,7.0,1.6,3400000,6000000.0,83.0,0.0,-2.0,-0.4,0,0,1,0,961.0,2
fluminense,Lima,29.0,7.0,1.81,500000000,2500000.0,49.0,1.79,0.0,1.5,0,0,1,0,841.0,2
fluminense,Ganso,35.0,7.0,1.84,0,400000.0,44.0,1.92,3.0,-0.2,0,0,1,0,1225.0,2
fluminense,Yeferson Soteldo,28.0,9.0,1.6,4800000,6000000.0,40.0,0.0,-5.0,-1.6,0,0,0,1,784.0,0
fluminense,Keno,35.0,9.0,1.74,1000000,500000.0,35.0,1.44,3.0,0.5,0,0,0,1,1225.0,0
fluminense,Santiago Moreno,25.0,8.0,1.78,5150000,3500000.0,7.0,0.0,0.0,-0.1,0,0,0,1,625.0,0
fluminense,Kevin Serna,27.0,8.0,1.82,1650000,2000000.0,50.0,1.25,-3.0,0.2,0,0,0,1,729.0,0
fluminense,Germán Cano,37.0,11.0,1.76,0,800000.0,73.0,1.42,-4.0,-1.1,0,0,0,1,1369.0,0
fortaleza,Brenno,26.0,1.0,1.9,0,1000000.0,90.0,0.5,-1.0,-1.5,1,0,0,0,676.0,3
fortaleza,Helton Leite,34.0,1.0,1.96,300000000,600000.0,90.0,0.0,-2.0,1.5,1,0,0,0,1156.0,3
fortaleza,Benjamín Kuscevic,29.0,4.0,1.86,960000000,2000000.0,89.0,0.88,-10.0,-8.4,0,1,0,0,841.0,1
fortaleza,Weverson,25.0,3.0,1.85,0,1500000.0,66.0,0.0,-6.0,-0.7,0,1,0,0,625.0,1
fortaleza,Diogo Barbosa,33.0,3.0,1.79,0,350000.0,65.0,0.9,0.0,-3.3,0,1,0,0,1089.0,1
fortaleza,Bruno Pacheco,33.0,3.0,1.75,350000000,300000.0,81.0,0.4,-3.0,0.0,0,1,0,0,1089.0,1
fortaleza,Eros Mancuso,26.0,2.0,1.71,1470000,4000000.0,66.0,0.46,-10.0,-2.7,0,1,0,0,676.0,1
fortaleza,Lucas Sasha,35.0,5.0,1.77,0,250000.0,83.0,0.94,-5.0,-2.1,0,0,1,0,1225.0,2
fortaleza,Rodrigo Santos,24.0,5.0,1.78,600000000,0.0,13.0,0.0,0.0,0.0,0,0,1,0,576.0,2
fortaleza,Matheus Rossetto,29.0,6.0,1.8,0,1500000.0,64.0,0.9,-5.0,0.5,0,0,1,0,841.0,2
fortaleza,Pablo Roberto,25.0,6.0,1.83,1000000,800000.0,45.0,0.0,-1.0,0.8,0,0,1,0,625.0,2
fortaleza,Kervin Andrade,20.0,7.0,1.63,600000000,1500000.0,23.0,0.88,3.0,2.0,0,0,1,0,400.0,2
fortaleza,Moisés,28.0,9.0,1.77,3450000,3000000.0,47.0,1.67,1.0,0.4,0,0,0,1,784.0,0
fortaleza,José Herrera,22.0,8.0,1.72,2000000,2500000.0,44.0,0.83,-7.0,-2.5,0,0,0,1,484.0,0
fortaleza,Yago Pikachu,33.0,8.0,1.72,453000000,1000000.0,52.0,0.78,-5.0,-2.7,0,0,0,1,1089.0,0
fortaleza,Marinho,35.0,8.0,1.69,350000000,400000.0,50.0,0.93,-1.0,-0.9,0,0,0,1,1225.0,0
fortaleza,Adam Bareiro,29.0,11.0,1.8,1540000,4000000.0,23.0,0.67,-3.0,0.8,0,0,0,1,841.0,0
fortaleza,Juan Martín Lucero,33.0,11.0,1.82,920000000,1200000.0,54.0,0.67,-4.0,-3.9,0,0,0,1,1089.0,0
fortaleza,Deyverson,34.0,11.0,1.87,1150000,500000.0,47.0,0.69,-2.0,0.5,0,0,0,1,1156.0,0
gremio,Tiago Volpi,34.0,1.0,1.89,0,1000000.0,90.0,1.2,-6.0,-5.9,1,0,0,0,1156.0,3
gremio,Rodrigo Ely,31.0,4.0,1.88,1500000,2000000.0,20.0,1.5,-1.0,-1.3,0,1,0,0,961.0,1
gremio,Fabián Balbuena,34.0,4.0,1.89,0,2000000.0,75.0,1.33,1.0,0.7,0,1,0,0,1156.0,1
gremio,Jemerson,33.0,4.0,1.84,700000000,1000000.0,86.0,1.0,-5.0,-5.1,0,1,0,0,1089.0,1
gremio,Walter Kannemann,34.0,4.0,1.84,905000000,600000.0,87.0,1.73,3.0,-0.5,0,1,0,0,1156.0,1
gremio,Lucas Esteves,25.0,3.0,1.71,950000000,1800000.0,85.0,0.5,-9.0,-5.5,0,1,0,0,625.0,1
gremio,João Pedro,28.0,2.0,1.79,0,3000000.0,64.0,0.67,-6.0,-3.7,0,1,0,0,784.0,1
gremio,Marcos Rocha,36.0,2.0,1.76,0,300000.0,90.0,1.0,0.0,0.2,0,1,0,0,1296.0,1
gremio,Gustavo Cuéllar,32.0,5.0,1.76,0,2500000.0,62.0,2.0,1.0,0.8,0,0,1,0,1024.0,2
gremio,Camilo,26.0,5.0,1.76,1000000,1200000.0,51.0,0.92,-5.0,-5.7,0,0,1,0,676.0,2
gremio,Dodi,29.0,5.0,1.69,915000000,700000.0,78.0,1.25,3.0,-0.9,0,0,1,0,841.0,2
gremio,Edenilson,35.0,6.0,1.75,0,600000.0,52.0,1.07,-1.0,-5.1,0,0,1,0,1225.0,2
gremio,Franco Cristaldo,29.0,7.0,1.75,4000000,7000000.0,51.0,1.0,-4.0,-2.5,0,0,1,0,841.0,2
gremio,Miguel Monsalve,21.0,7.0,1.78,2300000,6000000.0,37.0,0.75,-2.0,-1.7,0,0,1,0,441.0,2
gremio,Alexander Aravena,22.0,9.0,1.78,3200000,6000000.0,26.0,1.0,-1.0,-0.4,0,0,0,1,484.0,0
gremio,Francis Amuzu,26.0,9.0,1.69,1200000,4000000.0,45.0,0.8,-6.0,-4.6,0,0,0,1,676.0,0
gremio,Cristian Olivera,23.0,8.0,1.7,4300000,6000000.0,75.0,1.71,5.0,-1.7,0,0,0,1,529.0,0
gremio,Martin Braithwaite,34.0,11.0,1.77,0,2700000.0,84.0,1.13,-5.0,-3.6,0,0,0,1,1156.0,0
juventude,Wilker Ángel,32.0,4.0,1.9,0,200000.0,81.0,0.92,-13.0,-12.3,0,1,0,0,1024.0,1
juventude,Alan Ruschel,36.0,3.0,1.76,0,150000.0,64.0,1.0,-10.0,-9.8,0,1,0,0,1296.0,1
juventude,Reginaldo,32.0,2.0,1.74,0,200000.0,66.0,1.31,-10.0,-10.1,0,1,0,0,1024.0,1
juventude,Daniel Giraldo,33.0,5.0,1.78,0,450000.0,51.0,1.17,-7.0,-2.9,0,0,1,0,1089.0,2
juventude,Jádson,31.0,6.0,1.71,0,1000000.0,90.0,0.95,-21.0,-17.1,0,0,1,0,961.0,2
juventude,Lucas Fernandes,27.0,7.0,1.75,0,1500000.0,70.0,0.0,-2.0,-1.4,0,0,1,0,729.0,2
juventude,Giovanny,27.0,9.0,1.75,0,700000.0,36.0,0.8,-8.0,-4.4,0,0,0,1,729.0,0
juventude,Rafael Bilu,26.0,8.0,1.74,0,0.0,20.0,0.0,-2.0,-0.1,0,0,0,1,676.0,0
juventude,Gabriel Taliari,28.0,11.0,1.77,170000000,900000.0,61.0,1.0,-9.0,-12.2,0,0,0,1,784.0,0
juventude,Matheus Babi,28.0,11.0,1.91,0,400000.0,19.0,1.08,-6.0,-2.4,0,0,0,1,784.0,0
juventude,Gilberto,36.0,11.0,1.78,0,300000.0,52.0,0.62,-11.0,-9.1,0,0,0,1,1296.0,0
mirassol,Walter,37.0,1.0,1.88,0,200000.0,90.0,1.92,9.0,1.6,1,0,0,0,1369.0,3
mirassol,Alex Muralha,35.0,1.0,1.89,0,175000.0,90.0,1.17,2.0,2.2,1,0,0,0,1225.0,3
mirassol,João Victor,27.0,4.0,1.88,426000000,500000.0,90.0,1.69,9.0,3.7,0,1,0,0,729.0,1
mirassol,Reinaldo,35.0,3.0,1.78,0,400000.0,86.0,1.61,10.0,4.7,0,1,0,0,1225.0,1
mirassol,Lucas Ramon,31.0,2.0,1.78,0,400000.0,84.0,1.53,5.0,4.6,0,1,0,0,961.0,1
mirassol,Daniel Borges,32.0,2.0,1.74,0,350000.0,45.0,2.0,7.0,-1.2,0,1,0,0,1024.0,1
mirassol,Neto Moura,29.0,5.0,1.76,78000000,900000.0,74.0,1.65,3.0,-2.1,0,0,1,0,841.0,2
mirassol,Danielzinho,30.0,6.0,1.66,0,900000.0,89.0,1.72,11.0,3.7,0,0,1,0,900.0,2
mirassol,Negueba,25.0,8.0,1.73,0,900000.0,58.0,1.93,6.0,2.3,0,0,0,1,625.0,0
mirassol,Carlos Eduardo,28.0,8.0,1.73,0,500000.0,24.0,1.83,3.0,1.0,0,0,0,1,784.0,0
mirassol,Luiz Filipe,24.0,8.0,1.74,0,100000.0,14.0,0.0,0.0,0.2,0,0,0,1,576.0,0
palmeiras,Marcelo Lomba,38.0,1.0,1.89,0,150000.0,90.0,1.0,0.0,0.8,1,0,0,0,1444.0,3
palmeiras,Micael,25.0,4.0,1.83,4800000,5000000.0,90.0,2.22,6.0,4.0,0,1,0,0,625.0,1
palmeiras,Joaquín Piquerez,27.0,3.0,1.84,3200000,1400000.0,84.0,2.17,12.0,9.9,0,1,0,0,729.0,1
palmeiras,Jefté,21.0,3.0,1.83,7000000,4000000.0,1.0,3.0,0.0,0.0,0,1,0,0,441.0,1
palmeiras,Khellven,24.0,2.0,1.76,6000000,5000000.0,55.0,3.0,4.0,1.9,0,1,0,0,576.0,1
palmeiras,Aníbal Moreno,26.0,5.0,1.77,6450000,1100000.0,58.0,2.43,8.0,4.7,0,0,1,0,676.0,2
palmeiras,Emiliano Martínez,26.0,5.0,1.85,7150000,7000000.0,57.0,2.19,3.0,5.2,0,0,1,0,676.0,2
palmeiras,Lucas Evangelista,30.0,6.0,1.81,4000000,3500000.0,57.0,2.13,11.0,7.6,0,0,1,0,900.0,2
palmeiras,Raphael Veiga,30.0,7.0,1.76,1300000,1500000.0,36.0,1.8,-2.0,0.9,0,0,1,0,900.0,2
palmeiras,Mauricio,24.0,7.0,1.74,10500000,1100000.0,49.0,2.21,6.0,3.7,0,0,1,0,576.0,2
palmeiras,Paulinho,25.0,9.0,1.77,18000000,1600000.0,32.0,1.71,-1.0,0.9,0,0,0,1,625.0,0
