Clube,Player,age,Position_Num,Height,Taxa_Transferencia,Value_Num,fb_Mn/MP,fb_PPM,fb_+/-,fb_xG+/-,Dum_MC,age_centered,age_sq,ln_Value_Num,pos_rnc,pts_rnc,cluster
juventude,Lucas Fernandes,27.0,7.0,1.75,0,1500000.0,70.0,0.0,-2.0,-1.4,1,-1.95438596491228,3.819624499846104,14.22097566607244,12,14238,1.0
mirassol,Neto Moura,29.0,5.0,1.76,78000000,900000.0,74.0,1.65,3.0,-2.1,1,0.0456140350877198,0.0020806401969837,13.710150042306449,13,12830,0.0
mirassol,Danielzinho,30.0,6.0,1.66,0,900000.0,89.0,1.72,11.0,3.7,1,1.04561403508772,1.0933087103724235,13.710150042306449,13,12830,0.0
palmeiras,Aníbal Moreno,26.0,5.0,1.77,6450000,1100000.0,58.0,2.43,8.0,4.7,1,-2.95438596491228,8.728396429670665,13.9108207377686,14,13482,1.0
palmeiras,Emiliano Martínez,26.0,5.0,1.85,7150000,7000000.0,57.0,2.19,3.0,5.2,1,-2.95438596491228,8.728396429670665,15.761420707019589,14,13482,1.0
palmeiras,Lucas Evangelista,30.0,6.0,1.81,4000000,3500000.0,57.0,2.13,11.0,7.6,1,1.04561403508772,1.0933087103724235,15.068273526459642,14,13482,1.0
palmeiras,Raphael Veiga,30.0,7.0,1.76,1300000,1500000.0,36.0,1.8,-2.0,0.9,1,1.04561403508772,1.0933087103724235,14.22097566607244,14,13482,1.0
palmeiras,Mauricio,24.0,7.0,1.74,10500000,1100000.0,49.0,2.21,6.0,3.7,1,-4.95438596491228,24.545940289319784,13.9108207377686,14,13482,1.0
santos,João Schmidt,32.0,5.0,1.83,0,1000000.0,68.0,1.0,-4.0,-3.0,1,3.04561403508772,9.275764850723304,13.815510557964274,15,11587,1.0
santos,Zé Rafael,32.0,6.0,1.75,2500000,3000000.0,58.0,1.45,-6.0,-4.3,1,3.04561403508772,9.275764850723304,14.914122846632385,15,11587,1.0
santos,Neymar,33.0,7.0,1.75,0,1200000.0,74.0,1.45,-5.0,-2.1,1,4.04561403508772,16.366992920898742,13.997832114758229,15,11587,1.0
santos,Thaciano,30.0,7.0,1.82,4500000,1500000.0,32.0,1.0,-4.0,-2.7,1,1.04561403508772,1.0933087103724235,14.22097566607244,15,11587,1.0
spfc,Damián Bobadilla,24.0,6.0,1.81,2700000,2500000.0,62.0,1.71,9.0,6.7,1,-4.95438596491228,24.545940289319784,14.73180128983843,16,12396,1.0
spfc,Alisson,32.0,6.0,1.74,0,1800000.0,79.0,1.47,1.0,2.5,1,3.04561403508772,9.275764850723304,14.403297222866392,16,12396,1.0
